το μοναχοπαίδι		                    : only child
ο πεθερός		                        : father-in-law	= тесть / свёкр
η πεθερά		                        : mother-in-law	= тёща / свекровь
ο γαμπρός		                        : son-in-law (the husband of a daughter) = зять
η νύφη			                        : daughter-in-law (the wife of a son) = невестка
τα ετεροθαλή αδέλφια	                : stepsiblings (stepbrother / stepsister)

ο γάμος		                            : marriage / wedding
το διαζύγιο		                        : divorce
πρώην			                        : adj. ex = бывший/ая
ο/η πρώην σύζυγός                       : ex-partner (m.+f.)

γεννιέμαι 	                            : to be born (group Γ)
γεννήθηκα                               : I was born
γεννήθηκε	                            : he/she/it was born
γεννάω / ώ 	                            : give birth (group Β1)
ερωτεύομαι 	                            : to fall in love with (group Γ)
αγαπάω	                                : love (group Β1)
μισώ	                                : hate (group Β2)
παντρεύομαι	                            : get married (group Γ)
χωρίζω	                                : separate, split (group Α)
παίρνω διαζύγιο                         : get divorce
γερνάω / ώ 	                            : get old (group Β1)
πεθαίνω	                                : die (group Α)
πέθανε	                                : he/she/it died

μεγάλη ηλικία / γεράματα	            : old age = старость
κάνω παιδί			                    : expect
οι μακρινοί / κοντινοί συγγενείς	    : far / close relatives
ήθη και έθιμα (sing.ήθος, sing.έθιμο)	: cultural behaviour & traditions = манеры и обычаи
